ID,Name der Einrichtung,Träger,Amtlicher Gemeindeschlüssel,Gemeinde,Stadtteil,PLZ,Straße,Telefon,Anzahl der Gruppen,Plätze für 2Jährige,Plätze für Kinder unter 2 Jahren,longitude,latitude
1,Marienheim,Kath. Kirchengemeinde St. Mauritius und Hl. Geist,5162022,Meerbusch,Büderich,40667,Necklenbroicher Straße 34,02132/2777,4,ja,nein,6.68662,51.24965
2,Karl-Borromäus,Kath. Kirchengemeinde St. Mauritius und Hl. Geist,5162022,Meerbusch,Büderich,40667,Nordstraße 46,02132/73266,4,ja,ja,6.7015,51.24679
3,Schatzkiste,Ev. Kirchengemeinde Büderich,5162022,Meerbusch,Büderich,40667,Dietrich-Bonhoeffer-Straße 9,02132/991914,4,ja,ja,6.6954848,51.2474829
4,Familienzentrum Sonnengarten,Stadt Meerbusch,5162022,Meerbusch,Büderich,40667,Laacher Weg 65,02132/80035,5,ja,nein,6.6982607,51.2380774
5,Lummerland,Stadt Meerbusch,5162022,Meerbusch,Büderich,40667,Karl-Arnold Straße 36 b,02132/71032,4,ja,nein,6.6943341,51.2402158
6,Lummerland AST,Stadt Meerbusch,5162022,Meerbusch,Büderich,40667,Am Sonnengarten 2,02132/9149157,5,ja,nein,6.6969014,51.2390112
7,Integrative Tagesstätte Fronhof (Familienzentrum),Stadt Meerbusch,5162022,Meerbusch,Büderich,40667,Gereonstaße 6 - 8,02132/6422,4,ja,ja,6.6978371,51.2517832
8,Montessori-Kinderhaus,Montessori-Kinderhaus Meerbusch e. V.,5162022,Meerbusch,Büderich,40667,Necklenbroicher Straße 47,02132/10604,2,ja,ja,6.68237,51.25069
9,Kindertageseinrichtung KiKu Nepomuk,Kinderzentren Kunterbunt gGmbH,5162022,Meerbusch,Büderich,40667,Am Flehkamp 12,02132/9959001,5,ja,ja,6.6827997,51.2579418
10,St. Nikolaus (Familienzentrum),Horizonte gGmbH,5162022,Meerbusch,Osterath,40670,Fröbelstraße 1,02159/3333,4,ja,ja,6.61855,51.27037
11,Himmelszelt,Ev. Kirchengemeinde Osterath,5162022,Meerbusch,Osterath,40670,Insterburger Str. 20,02159/2695,4,ja,ja,6.62908,51.26573
12,Entdeckerknirpse,Stadt Meerbusch,5162022,Meerbusch,Osterath,40670,Wienenweg 42,02159/50978,3,ja,nein,6.6323096,51.2700843
13,Rasselbande,Stadt Meerbusch,5162022,Meerbusch,Osterath,40670,Uerdinger Gerichtsweg 2,02159/528631,5,ja,nein,6.62136,51.27901
14,Integrative Tagesstätte Krähennest,Ev. Kirchengemeinde Osterath,5162022,Meerbusch,Osterath,40670,Rudolf-Lensing-Ring 84,02159/528277,4,ja,nein,6.60864,51.27057
15,St. Stephanus,Horizonte gGmbH,5162022,Meerbusch,Lank-Latum,40668,Hauptstraße 89,02150/1071,3,ja,nein,6.67755,51.30644
16,Ev. Tageseinrichtung für Kinder,Ev. Kirchengemeinde,5162022,Meerbusch,Lank-Latum,40668,Schulstaße 2-4,02150/2556,3,ja,ja,6.6769899,51.3060831
17,Tabaluga,Stadt Meerbusch,5162022,Meerbusch,Lank-Latum,40668,Stettiner Straße 23,02150/1632,4,ja,ja,6.68946,51.30656
18,Unter'm Regenbogen (Familienzentrum),Stadt Meerbusch,5162022,Meerbusch,Lank-Latum,40668,Uerdinger Straße 94,02150/6608,5,ja,ja,6.67645,51.30972
19,Farbenland,Lebenshilfe Neuss gGmbH,5162022,Meerbusch,Lank-Latum,40668,Pfarrstraße 10,02150/6090818,5,ja,ja,6.6799205,51.3024606
20,St. Franziskus,Horizonte gGmbH,5162022,Meerbusch,Strümp,40670,Paul-Jülke-Straße 1,02159/6291,2,ja,nein,6.64949,51.28195
21,Familienzentrum,Kindergarten 71 e. V.,5162022,Meerbusch,Strümp,40670,An der Strempe 15,02159/8600,3,ja,ja,6.66079,51.28500
22,Kunterbunt,Stadt Meerbusch,5162022,Meerbusch,Strümp,40670,Isselweg 5,02159/81718,3,nein,nein,6.6580183,51.2819005
23,Schatzinsel,OBV Meerbusch e.V.,5162022,Meerbusch,Strümp,40670,Kaustinenweg 1,02159/9284130,5,ja,ja,6.6484,51.28228
24,Familienzentrum,Kindergarten 71 e. V.,5162022,Meerbusch,Ossum-Bösinghoven,40668,Josef-Werres-Str. 62,02159/7720,4,ja,ja,6.63134,51.30524
25,Mullewapp,Stadt Meerbusch,5162022,Meerbusch,Nierst,40669,Stratumer Straße 56,02150/5908,2,nein,nein,6.71483,51.31549
